source_file,substation,raw_segment
31.pdf,Городищенська філія,Короленка
31.pdf,Городищенська філія,Миру
31.pdf,Городищенська філія,Травневий
31.pdf,Городищенська філія,Шевчена
31.pdf,Городищенська філія,Шевченка
31.pdf,Городищенська філія,Шевченка
31.pdf,Городищенська філія,Зелена
31.pdf,Городищенська філія,Зарiчна
31.pdf,Городищенська філія,Польова
31.pdf,Городищенська філія,Захарова
31.pdf,Городищенська філія,Гагарiна
31.pdf,Городищенська філія,Правди
31.pdf,Городищенська філія,Квiтнева
31.pdf,Драбівська філія,ФО
31.pdf,Драбівська філія,Колгоспна
31.pdf,Драбівська філія,номери)
31.pdf,Драбівська філія,ВЖРЕУ
31.pdf,Драбівська філія,ПТУ
31.pdf,Драбівська філія,Шевченка
31.pdf,Драбівська філія,Івасів
31.pdf,Золотоніська філія,Нова
31.pdf,Золотоніська філія,В.І
31.pdf,Золотоніська філія,ва
31.pdf,Золотоніська філія,О.В
31.pdf,Золотоніська філія,Фізична
31.pdf,Золотоніська філія,Сад.т
31.pdf,Золотоніська філія,Свято
31.pdf,Золотоніська філія,Сонячна
31.pdf,Золотоніська філія,пров
31.pdf,Золотоніська філія,Кільцева
31.pdf,Золотоніська філія,Сад.т
31.pdf,Золотоніська філія,пров
31.pdf,Золотоніська філія,Сосновий
31.pdf,Золотоніська філія,Сад.т
31.pdf,Золотоніська філія,Лісова
31.pdf,Золотоніська філія,Хвильово
31.pdf,Золотоніська філія,Сорочин
31.pdf,Золотоніська філія,Вiддiл
31.pdf,Золотоніська філія,П.П. Юрик
31.pdf,Золотоніська філія,АПК
31.pdf,Золотоніська філія,Будмаркет
31.pdf,Золотоніська філія,аптека
31.pdf,Золотоніська філія,Весняна
31.pdf,Золотоніська філія,Соборна
31.pdf,Золотоніська філія,Корсунь
31.pdf,філія,Харківця
31.pdf,філія,Київська
31.pdf,філія,Абрамцева
31.pdf,філія,Хутірська
31.pdf,філія,Молодіжна
31.pdf,філія,Дорошенка
31.pdf,філія,Руднєва
31.pdf,філія,Чорновола
31.pdf,філія,Симоненка
31.pdf,філія,Єдності
31.pdf,філія,Симоненка
31.pdf,філія,Осипенка
31.pdf,філія,В. Стуса
31.pdf,філія,Хойніцька
31.pdf,філія,Левченка
31.pdf,філія,Парковий
31.pdf,філія,Яблунева
31.pdf,філія,Росьова
31.pdf,філія,Калинова
31.pdf,Смілянська міська філія,молоді та
31.pdf,Смілянська міська філія,Черк.обл
31.pdf,Смілянська міська філія,ОСББ
31.pdf,Смілянська міська філія,Пісковий
31.pdf,Смілянська міська філія,Колесник
31.pdf,Смілянська міська філія,Тютенко
31.pdf,Смілянська міська філія,Зозуля
31.pdf,Смілянська міська філія,Липко
31.pdf,Смілянська міська філія,Мазуренко
31.pdf,Смілянська міська філія,Жежерун
31.pdf,Смілянська міська філія,Гладких
31.pdf,Смілянська міська філія,Липко
31.pdf,Смілянська міська філія,Гайдай
31.pdf,Смілянська міська філія,Редчиць
31.pdf,Смілянська міська філія,Печериця
31.pdf,Смілянська міська філія,Алтанська
31.pdf,Смілянська міська філія,Тищенко
31.pdf,Смілянська міська філія,Прядко
31.pdf,Смілянська міська філія,Богун
31.pdf,Смілянська міська філія,Сергієнко
31.pdf,Смілянська міська філія,Гірська
31.pdf,Смілянська міська філія,Попов
31.pdf,Смілянська міська філія,Бабіцька
31.pdf,Смілянська міська філія,Задорська
31.pdf,Смілянська міська філія,Охріменко
31.pdf,Смілянська міська філія,Ткаченко
31.pdf,Смілянська міська філія,Заріцький
31.pdf,Смілянська міська філія,Жуковіна
31.pdf,Смілянська міська філія,Соборна
31.pdf,Смілянське відділення,х
